auroc,auprc,acc,f1_macro,ece,brier,nll,hce,hce_coverage,hce_count,hce_err,intercept,slope,n,bin_counts,setting,method,row,train_seed,scaled
0.6566358024691358,0.6194374286771092,0.6296296296296297,0.6167371399956539,0.08467668473152623,0.23355407481612048,0.6588603808457321,,0.0,0,0,0.04208677137326459,0.5619763616321954,216,[  0   3   6  34  59 102  11   1   0   0],rare,Softmax baseline,Softmax baseline + TempScale,20240910,True
0.7091049382716049,0.6544727954905313,0.6481481481481481,0.5935157801453685,0.10928470624999996,0.2287519522562356,0.6591188708093431,0.1111111111111111,0.20833333333333334,45,5,0.2706286496359321,0.5688236600874845,216,[42 11 15 20 12 40 45 17 11  3],rare,EviDDIE w/o EVI,EviDDIE w/o EVI,19940419,False
0.782664609053498,0.748919285755274,0.7175925925925926,0.710960001790705,0.08684455560185188,0.19514735894190405,0.5750407272968048,,0.0,0,0,-0.2210174678188114,1.3167979457991967,216,[ 0 15 19 11 36 74 18 37  6  0],rare,EviDDIE w/o EVI,EviDDIE w/o EVI,20230801,False
0.7028463648834019,0.6881744510617551,0.6157407407407407,0.5272608872608873,0.10379427351851853,0.22375361411844374,0.6467358683423049,0.17647058823529413,0.1574074074074074,34,6,0.1509810861447152,0.7722207084398534,216,[30 11 22 31 29 33 32  9 15  4],rare,EviDDIE w/o EVI,EviDDIE w/o EVI,20240115,False
0.7329389574759945,0.6701304805120367,0.6666666666666666,0.5944978354978355,0.11984574013888888,0.21154751008487646,0.6262759123323351,0.2,0.16203703703703703,35,7,0.09472185586650884,0.7370609680255453,216,[32 10 15 18 41 33 34 25  5  3],rare,EviDDIE w/o EVI,EviDDIE w/o EVI,20240520,False
0.6808984910836762,0.62113231053663,0.6342592592592593,0.6348531504727157,0.08277292425925922,0.22948468248882095,0.6546063902971343,0.14285714285714285,0.06481481481481481,14,2,0.27444499952846885,0.2336061867499802,216,[13 12 21 18 27 53 42 25  4  1],rare,EviDDIE w/o EVI,EviDDIE w/o EVI,20240910,False
0.7091049382716049,0.6544727954905313,0.6481481481481481,0.5935157801453685,0.10539918508355813,0.2259823417869458,0.6434266867911895,,0.0,0,0,-0.5842092390202903,2.195886201908576,216,[  0   0   6  40  54 112   4   0   0   0],rare,EviDDIE w/o EVI,EviDDIE w/o EVI + TempScale,19940419,True
0.782664609053498,0.748919285755274,0.7175925925925926,0.710960001790705,0.11167821198348368,0.20338694491412324,0.5956313941562451,,0.0,0,0,-0.44536569238945567,1.8137742610643326,216,[ 0  0 24 19 38 83 36 16  0  0],rare,EviDDIE w/o EVI,EviDDIE w/o EVI + TempScale,20230801,True
0.7028463648834019,0.6881744510617551,0.6157407407407407,0.5272608872608873,0.08495421658836272,0.22177777556176176,0.6340477890508106,,0.0,0,0,-0.08505468512725245,1.2680630798420958,216,[ 0  3 21 24 75 73 20  0  0  0],rare,EviDDIE w/o EVI,EviDDIE w/o EVI + TempScale,20240115,True
0.7329389574759945,0.6701304805120367,0.6666666666666666,0.5944978354978355,0.10170655460360503,0.22120639887652127,0.6332617094299564,,0.0,0,0,-0.384224166414674,1.77147369661567,216,[ 0  0 21 21 74 92  6  2  0  0],rare,EviDDIE w/o EVI,EviDDIE w/o EVI + TempScale,20240520,True
